a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
4,41,0,1,1,1,6,3,41,0.00046552552117241756,0.9120617378048976,0.3333333333333333,1.0
4,43,0,1,1,1,3,3,43,0.00048553943634033203,0.8375726744186238,0.3333333333333333,1.0
4,45,0,1,1,1,6,3,45,0.0004931290944417318,0.8225694444444969,0.3333333333333333,1.0
4,47,0,1,1,1,6,3,47,0.0005473825666639539,0.8646941489361883,0.3333333333333333,1.0638297872340425
4,49,0,1,1,1,6,3,49,0.0005398856268988715,0.6898118622450364,0.3333333333333333,0.8584183673471646
4,51,0,1,1,1,6,3,51,0.0005637274848090278,0.7306985294117634,0.3333333333333333,0.8235294117647056
4,53,0,1,1,1,6,3,53,0.0006079143948025174,0.677329009434005,0.3333333333333333,0.7924528301887221
4,55,0,1,1,1,6,3,55,0.0006206565433078342,0.7436868686869185,0.3333333333333333,0.8227272727272705
4,57,0,1,1,1,6,3,57,0.0006247096591525608,0.6751644736842106,0.3333333333333333,0.8519736842105257
4,59,0,1,1,1,6,3,59,0.0006840758853488498,0.8101165254237657,0.3333333333333333,0.9417372881356414
4,61,0,1,1,1,6,3,61,0.0006660355461968316,0.7562756147542018,0.3333333333333333,0.9385245901639792
4,63,0,1,1,1,6,3,63,0.0007073614332411024,0.7245783730159481,0.3333333333333333,0.7383432539682531
4,65,0,1,1,1,7,3,65,0.0006880521774291992,0.8338942307692605,0.3333333333333333,1.0
4,67,0,1,1,1,7,3,67,0.0007486581802368164,0.8277168843283693,0.3333333333333333,1.0
4,69,0,1,1,1,7,3,69,0.000767827033996582,0.8037250905797464,0.3333333333333333,1.0
4,71,0,1,1,1,7,3,71,0.0007509708404541016,0.8526628521127151,0.3333333333333333,1.0
4,73,0,1,1,1,7,3,73,0.0007831811904907227,0.8964576198630136,0.3333333333333333,1.0
4,75,0,1,1,1,7,3,75,0.0006963491439819336,0.8490104166667152,0.3333333333333333,1.0
4,77,0,1,1,1,7,3,77,0.00080413818359375,0.8998072240260626,0.3333333333333333,1.0
4,79,0,1,1,1,7,3,79,0.0006607294082641602,0.8800819708158807,0.3333333333333333,1.0632911392405067
4,81,0,1,1,1,7,3,81,0.0007670879364013672,0.779658564814838,0.3333333333333333,0.8402777777778283
4,83,0,1,1,1,7,3,83,0.000744938850402832,0.7646366716868442,0.3333333333333333,0.8089231927710898
4,85,0,1,1,1,11,3,85,0.0008562973567417689,0.866773897058863,0.3333333333333333,1.0
4,87,0,1,1,1,31,3,87,0.0007397918140186983,1.3895025143678623,0.3333333333333333,1.609375
4,89,0,1,1,1,36,4,89,0.0007058620452880859,1.4041861735331846,0.25,1.4943820224719104
4,91,0,1,1,1,12,4,91,0.0006164461374282837,0.8960202991455162,0.25,1.0
4,93,0,1,1,1,12,4,93,0.0007324665784835815,0.7968077956991237,0.25,0.9381720430110363
4,95,0,1,1,1,8,4,95,0.000796357790629069,0.7467141812865694,0.25,0.8131578947368423
4,97,0,1,1,1,8,4,97,0.0007396340370178223,0.7364833906071837,0.25,0.9381443298969074
4,99,0,1,1,1,8,4,99,0.0008405645688374838,0.7897095959598573,0.25,0.8600063131316347
